Station,Latitude,Longitude,Zone,Postcode
Hammersmith (H&C),51.493483,-0.22464,2,W6 0ED
Hampstead,51.556543,-0.178015,2,NW3 1QG
Hampstead Heath,51.5552,-0.164566,3,NW3 2QD
Hampton,51.41588,-0.372135,6,TW12 2HU
Hampton Court,51.402294,-0.342757,6,KT8 9AE
Hampton Wick,51.41464,-0.313104,6,KT1 4DQ
Hanger Lane,51.530072,-0.292996,3,W5 1DL
Hanwell,51.512186,-0.338052,4,W7 3EB
Harlesden,51.536258,-0.257496,3,NW10 8UT
Harold Wood,51.593202,0.234204,6,RM3 0BL
Harringay,51.577358,-0.105208,3,N4 1RW
Harringay Green Lanes,51.577146,-0.098217,3,N4 2NU
Harrow & Wealdstone,51.592595,-0.334253,5,HA3 7RF
Harrow-on-the-Hill,51.579388,-0.337002,5,HA1 1BB
Hatch End,51.609829,-0.369179,6,HA5 5LZ
Hatton Cross,51.466685,-0.423381,5,TW6 3PF
Haydons Road,51.425457,-0.188929,3,SW19 8SL
Hayes & Harlington,51.503049,-0.420642,5,UB3 4BX
Hayes (Kent),51.375737,0.010143,5,BR2 7EN
Headstone Lane,51.6025,-0.356908,5,HA2 6NB
Heathrow Terminal 4 EL,51.45978,-0.44773,6,TW6 3AA
Heathrow Terminal 4 LU,51.45978,-0.44773,6,TW6 3AA
Heathrow Terminal 5 LU,51.470025,-0.490648,6,TW6 2GA
Heathrow Terminals 123 LU,51.471289,-0.452407,6,TW6 1EB
Heathrow Terminals 2 & 3 EL,51.471289,-0.452407,6,TW6 1EB
Hendon,51.580075,-0.238631,3,NW4 4PT
Hendon Central,51.583133,-0.226734,3,NW4 3AS
Herne Hill,51.453991,-0.102563,2,SE24 0JW
Heron Quays,51.503387,-0.021954,2,E14 4JH
Hertford East,51.799194,-0.072785,11,SG14 1SB
High Barnet,51.651688,-0.194165,5,EN5 5RP
High Street Kensington,51.500729,-0.191566,1,W8 5SA
Highams Park,51.608356,-0.000135,4,E4 9LA
Highbury & Islington,51.546496,-0.104082,2,N1 1SE
Highgate,51.577647,-0.146935,3,N6 5BH
Hillingdon,51.553778,-0.449898,6,UB10 9NR
Hither Green,51.452402,-0.000971,3,SE13 5NF
Holborn,51.517236,-0.119841,1,WC2B 6AA
Holland Park,51.507146,-0.206558,2,W11 3RB
